frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,stop_line_mm,stop_line_hit
0,0.0000,1,hybrid:ecc,0.9149,0.171,1050.2,997.1,-177.172,-1516.3,-175.0,-1601.7,1552.9,3022.7,1781.4,3108.0,53.5,1450.0,,,planar,571.6,543.8,1529.2,544.2,1528.8,1450.5,571.2,1450.1,-617.4,-130.6,-702.8,1597.3,2259.1,11.5,2173.7,1739.4,525.0,0
1,0.0500,1,hybrid:ecc,0.9037,0.171,1050.3,997.2,-177.172,-1516.2,-174.9,-1601.6,1553.0,3022.8,1781.5,3108.1,53.6,1450.0,,,planar,571.6,543.8,1529.2,544.2,1528.9,1450.5,571.3,1450.1,-617.3,-130.5,-702.7,1597.4,2259.2,11.6,2173.8,1739.5,525.1,0
2,0.1000,1,hybrid:ecc,0.9035,0.171,1050.3,997.2,-177.172,-1516.2,-174.9,-1601.6,1553.0,3022.8,1781.5,3108.1,53.6,1450.0,,,planar,571.7,543.8,1529.3,544.2,1528.9,1450.5,571.3,1450.1,-617.3,-130.5,-702.7,1597.4,2259.2,11.6,2173.8,1739.5,525.1,0
3,0.1500,1,hybrid:ecc,0.9036,0.171,1050.3,997.2,-177.172,-1516.2,-174.9,-1601.6,1553.0,3022.8,1781.5,3108.1,53.6,1450.0,,,planar,571.7,543.8,1529.3,544.2,1528.9,1450.5,571.3,1450.1,-617.3,-130.5,-702.7,1597.4,2259.2,11.6,2173.8,1739.5,525.1,0
4,0.2000,1,hybrid:ecc,0.9036,0.171,1050.3,997.2,-177.172,-1516.2,-174.9,-1601.6,1553.0,3022.8,1781.5,3108.1,53.6,1450.0,,,planar,571.7,543.8,1529.3,544.2,1528.9,1450.5,571.3,1450.1,-617.3,-130.5,-702.7,1597.4,2259.2,11.6,2173.8,1739.5,525.1,0
5,0.2500,1,hybrid:ecc,0.9036,0.171,1050.3,997.2,-177.172,-1516.2,-174.9,-1601.6,1553.0,3022.8,1781.5,3108.1,53.6,1450.0,,,planar,571.7,543.8,1529.3,544.2,1528.9,1450.5,571.3,1450.1,-617.3,-130.5,-702.7,1597.4,2259.2,11.6,2173.8,1739.5,525.1,0
6,0.3000,1,hybrid:ecc,0.9036,0.171,1050.3,997.2,-177.172,-1516.2,-174.9,-1601.6,1553.0,3022.8,1781.5,3108.1,53.6,1450.0,,,planar,571.7,543.8,1529.3,544.2,1528.9,1450.5,571.3,1450.1,-617.3,-130.5,-702.7,1597.4,2259.2,11.6,2173.8,1739.5,525.1,0
7,0.3500,1,hybrid:ecc,0.9041,0.171,1050.2,997.2,-177.166,-1516.2,-175.1,-1601.7,1552.8,3022.6,1781.7,3108.1,53.8,1450.0,,,planar,571.7,543.8,1529.3,544.3,1528.8,1450.6,571.2,1450.1,-617.3,-130.6,-702.8,1597.3,2259.2,11.8,2173.6,1739.6,525.0,0
8,0.4000,1,hybrid:ecc,0.9055,0.171,1050.2,997.2,-177.166,-1516.2,-175.1,-1601.7,1552.8,3022.6,1781.7,3108.1,53.8,1450.0,,,planar,571.6,543.8,1529.2,544.3,1528.8,1450.6,571.2,1450.1,-617.3,-130.6,-702.8,1597.3,2259.2,11.8,2173.6,1739.6,525.0,0
9,0.4500,1,hybrid:ecc,0.9097,0.171,1050.1,997.2,-177.160,-1516.2,-175.4,-1601.9,1552.5,3022.4,1781.9,3108.1,54.0,1450.0,,,planar,571.5,543.8,1529.1,544.4,1528.6,1450.7,571.0,1450.1,-617.3,-130.8,-703.0,1597.1,2259.2,11.9,2173.5,1739.8,524.8,0
