frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,stop_line_mm,stop_line_hit
0,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.2500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.3500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.4500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.5500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.6500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.7000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.7500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.8000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.8500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.9000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.9500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.2500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.3500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.4500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.5500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.6500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.7000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.7500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.8000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
