frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,T1_mm,T1_hit,T2_mm,T2_hit
1000,50.0000,1,hybrid:ecc,0.7969,0.540,4781.3,-3284.5,0.494,7322.4,-2371.3,7337.3,-4101.3,2707.5,-4141.2,2692.6,-2411.2,1450.0,,,planar,5410.5,-3517.1,5284.4,-2840.9,4152.1,-3052.0,4278.2,-3728.2,6422.5,-2379.1,6437.4,-4109.0,3542.6,-2403.9,3557.5,-4133.8,-25.5,1,5846.6,0
1001,50.0500,1,hybrid:ecc,0.7982,0.541,4781.3,-3284.4,0.541,7321.7,-2369.1,7338.0,-4099.0,2708.2,-4142.7,2691.9,-2412.8,1450.0,,,planar,5410.6,-3516.4,5284.0,-2840.3,4151.9,-3052.4,4278.5,-3728.4,6421.7,-2377.6,6438.0,-4107.5,3541.8,-2404.8,3558.2,-4134.7,-24.7,1,5848.0,0
1002,50.1000,1,hybrid:ecc,0.7983,0.541,4781.3,-3284.4,0.545,7321.6,-2368.9,7338.0,-4098.8,2708.3,-4142.9,2691.8,-2413.0,1450.0,,,planar,5410.6,-3516.4,5284.0,-2840.3,4151.9,-3052.4,4278.5,-3728.5,6421.6,-2377.5,6438.1,-4107.4,3541.8,-2404.9,3558.2,-4134.8,-24.7,1,5848.1,0
1003,50.1500,1,hybrid:ecc,0.7983,0.541,4781.3,-3284.3,0.545,7321.6,-2368.9,7338.0,-4098.8,2708.2,-4142.8,2691.8,-2412.9,1450.0,,,planar,5410.6,-3516.3,5284.0,-2840.3,4151.9,-3052.4,4278.5,-3728.4,6421.6,-2377.4,6438.1,-4107.4,3541.8,-2404.8,3558.2,-4134.8,-24.7,1,5848.1,0
1004,50.2000,1,hybrid:ecc,0.7983,0.541,4781.3,-3284.3,0.545,7321.6,-2368.9,7338.0,-4098.8,2708.2,-4142.8,2691.8,-2412.9,1450.0,,,planar,5410.6,-3516.3,5284.0,-2840.3,4151.9,-3052.4,4278.5,-3728.4,6421.6,-2377.4,6438.1,-4107.4,3541.8,-2404.8,3558.2,-4134.8,-24.7,1,5848.1,0
1005,50.2500,1,hybrid:ecc,0.7986,0.541,4781.2,-3284.3,0.545,7321.6,-2368.9,7338.0,-4098.8,2708.2,-4142.8,2691.8,-2412.9,1450.0,,,planar,5410.6,-3516.3,5284.0,-2840.3,4151.9,-3052.4,4278.5,-3728.4,6421.6,-2377.4,6438.1,-4107.4,3541.8,-2404.8,3558.2,-4134.7,-24.7,1,5848.1,0
1006,50.3000,1,hybrid:ecc,0.7985,0.541,4781.3,-3284.3,0.543,7321.6,-2368.9,7338.0,-4098.9,2708.2,-4142.8,2691.8,-2412.8,1450.0,,,planar,5410.6,-3516.3,5284.0,-2840.3,4151.9,-3052.3,4278.5,-3728.4,6421.7,-2377.5,6438.1,-4107.4,3541.8,-2404.8,3558.2,-4134.7,-24.7,1,5848.0,0
1007,50.3500,1,hybrid:ecc,0.7988,0.540,4781.3,-3284.3,0.542,7321.6,-2369.0,7338.0,-4098.9,2708.2,-4142.7,2691.9,-2412.8,1450.0,,,planar,5410.6,-3516.3,5284.0,-2840.3,4151.9,-3052.3,4278.5,-3728.4,6421.7,-2377.5,6438.1,-4107.4,3541.8,-2404.8,3558.2,-4134.7,-24.7,1,5848.0,0
1008,50.4000,1,hybrid:ecc,0.7987,0.539,4781.3,-3284.3,0.540,7321.7,-2369.1,7338.0,-4099.0,2708.2,-4142.6,2691.9,-2412.7,1450.0,,,planar,5410.6,-3516.4,5284.0,-2840.3,4151.9,-3052.3,4278.5,-3728.4,6421.7,-2377.6,6438.0,-4107.5,3541.9,-2404.7,3558.1,-4134.6,-24.8,1,5847.9,0
1009,50.4500,1,hybrid:ecc,0.7986,0.539,4781.3,-3284.3,0.539,7321.7,-2369.1,7338.0,-4099.0,2708.2,-4142.6,2691.9,-2412.7,1450.0,,,planar,5410.6,-3516.4,5284.0,-2840.3,4151.9,-3052.3,4278.5,-3728.4,6421.7,-2377.6,6438.0,-4107.5,3541.9,-2404.7,3558.1,-4134.6,-24.8,1,5847.9,0
1010,50.5000,1,hybrid:ecc,0.7986,0.539,4781.3,-3284.3,0.539,7321.7,-2369.1,7338.0,-4099.0,2708.2,-4142.6,2691.9,-2412.7,1450.0,,,planar,5410.6,-3516.4,5284.0,-2840.3,4151.9,-3052.3,4278.5,-3728.4,6421.7,-2377.6,6438.0,-4107.5,3541.9,-2404.7,3558.1,-4134.6,-24.8,1,5847.9,0
1011,50.5500,1,hybrid:ecc,0.7986,0.538,4781.3,-3284.3,0.538,7321.7,-2369.2,7338.0,-4099.1,2708.2,-4142.6,2691.9,-2412.6,1450.0,,,planar,5410.6,-3516.4,5284.1,-2840.3,4151.9,-3052.3,4278.5,-3728.3,6421.8,-2377.6,6438.0,-4107.5,3541.9,-2404.7,3558.1,-4134.6,-24.8,1,5847.9,0
1012,50.6000,1,hybrid:ecc,0.7990,0.538,4781.3,-3284.3,0.534,7321.8,-2369.3,7337.9,-4099.2,2708.1,-4142.4,2692.0,-2412.5,1450.0,,,planar,5410.6,-3516.4,5284.1,-2840.3,4151.9,-3052.2,4278.5,-3728.3,6421.8,-2377.7,6437.9,-4107.6,3541.9,-2404.5,3558.1,-4134.5,-24.8,1,5847.7,0
1013,50.6500,1,hybrid:ecc,0.7990,0.538,4781.3,-3284.3,0.534,7321.8,-2369.3,7337.9,-4099.2,2708.1,-4142.4,2692.0,-2412.4,1450.0,,,planar,5410.6,-3516.4,5284.1,-2840.3,4151.9,-3052.2,4278.5,-3728.3,6421.8,-2377.7,6437.9,-4107.6,3541.9,-2404.5,3558.1,-4134.4,-24.9,1,5847.7,0
