frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,T2_mm,T2_hit
160,8.0000,1,hybrid:ecc,0.8365,0.299,531.5,670.3,-87.853,1517.8,-1832.1,-211.0,-1896.9,-384.5,2729.8,1344.3,2794.6,1450.0,,,planar,317.2,34.7,989.4,180.2,745.7,1306.0,73.5,1160.5,1484.0,-932.8,-244.7,-997.6,1376.1,1945.2,-352.6,1880.4,493.4,0
161,8.0500,1,hybrid:ecc,0.8362,0.296,531.4,670.4,-87.863,1517.2,-1832.2,-211.6,-1896.7,-384.2,2730.1,1344.6,2794.6,1450.0,,,planar,316.9,34.8,989.2,180.2,745.9,1306.0,73.6,1160.7,1483.7,-932.8,-245.1,-997.3,1376.3,1945.2,-352.5,1880.7,493.5,0
162,8.1000,1,hybrid:ecc,0.8251,0.311,531.3,670.7,-87.871,1516.8,-1832.0,-212.0,-1896.3,-384.0,2730.5,1344.8,2794.8,1450.0,,,planar,316.8,35.2,989.1,180.5,745.8,1306.3,73.5,1161.0,1483.3,-932.7,-245.5,-996.9,1376.3,1945.4,-352.5,1881.1,493.3,0
163,8.1500,1,hybrid:ecc,0.8222,0.319,531.2,671.5,-87.871,1516.7,-1831.2,-212.1,-1895.5,-384.1,2731.3,1344.7,2795.6,1450.0,,,planar,316.7,35.9,989.0,181.2,745.7,1307.0,73.4,1161.8,1483.2,-931.9,-245.6,-996.1,1376.2,1946.2,-352.6,1881.9,492.5,0
164,8.2000,1,hybrid:ecc,0.8137,0.325,531.2,671.9,-87.871,1516.7,-1830.8,-212.1,-1895.1,-384.1,2731.7,1344.7,2796.0,1450.0,,,planar,316.7,36.4,989.0,181.7,745.6,1307.5,73.3,1162.2,1483.2,-931.5,-245.6,-995.7,1376.2,1946.6,-352.6,1882.3,492.1,0
165,8.2500,1,hybrid:ecc,0.8133,0.326,531.1,672.0,-87.853,1517.4,-1830.4,-211.4,-1895.2,-384.9,2731.5,1343.9,2796.3,1450.0,,,planar,316.8,36.4,989.0,181.9,745.5,1307.6,73.2,1162.2,1483.6,-931.1,-245.1,-995.9,1375.7,1946.9,-353.0,1882.1,491.7,0
166,8.3000,1,hybrid:ecc,0.8142,0.321,531.1,672.1,-87.871,1516.6,-1830.6,-212.2,-1894.9,-384.2,2731.9,1344.6,2796.2,1450.0,,,planar,316.7,36.5,989.0,181.8,745.6,1307.6,73.3,1162.3,1483.1,-931.3,-245.7,-995.5,1376.1,1946.8,-352.7,1882.5,491.9,0
167,8.3500,1,hybrid:ecc,0.8168,0.308,531.2,671.9,-87.863,1517.0,-1830.7,-211.8,-1895.2,-384.4,2731.6,1344.4,2796.1,1450.0,,,planar,316.8,36.3,989.1,181.7,745.6,1307.5,73.3,1162.1,1483.5,-931.3,-245.3,-995.8,1376.1,1946.7,-352.7,1882.2,492.0,0
168,8.4000,1,hybrid:ecc,0.8246,0.301,531.2,671.7,-87.830,1518.4,-1830.3,-210.3,-1895.8,-385.6,2730.9,1343.2,2796.3,1450.0,,,planar,317.1,36.0,989.4,181.8,745.3,1307.4,73.1,1161.7,1484.4,-931.0,-244.4,-996.5,1375.3,1947.0,-353.4,1881.5,491.7,0
169,8.4500,1,hybrid:ecc,0.8256,0.301,531.2,671.8,-87.847,1517.7,-1830.5,-211.0,-1895.5,-385.0,2731.2,1343.8,2796.2,1450.0,,,planar,317.0,36.1,989.3,181.7,745.4,1307.4,73.2,1161.8,1483.9,-931.1,-244.9,-996.1,1375.7,1946.8,-353.1,1881.8,491.8,0
170,8.5000,1,hybrid:ecc,0.8246,0.306,531.2,671.8,-87.853,1517.5,-1830.6,-211.3,-1895.4,-384.8,2731.3,1344.0,2796.1,1450.0,,,planar,316.9,36.2,989.1,181.7,745.5,1307.4,73.2,1161.9,1483.7,-931.3,-245.0,-996.1,1375.8,1946.7,-352.9,1881.9,491.9,0
171,8.5500,1,hybrid:ecc,0.8209,0.304,531.2,672.0,-87.863,1517.0,-1830.6,-211.8,-1895.1,-384.4,2731.7,1344.4,2796.2,1450.0,,,planar,316.8,36.4,989.1,181.8,745.5,1307.6,73.2,1162.1,1483.5,-931.2,-245.3,-995.7,1376.1,1946.8,-352.7,1882.3,491.9,0
172,8.6000,1,hybrid:ecc,0.8221,0.302,531.2,672.0,-87.855,1517.4,-1830.5,-211.4,-1895.2,-384.7,2731.5,1344.1,2796.3,1450.0,,,planar,316.9,36.4,989.2,181.9,745.5,1307.6,73.2,1162.1,1483.7,-931.1,-245.1,-995.8,1375.9,1946.9,-352.9,1882.1,491.8,0
173,8.6500,1,hybrid:ecc,0.8216,0.299,531.2,672.0,-87.853,1517.5,-1830.4,-211.3,-1895.2,-384.8,2731.5,1344.0,2796.3,1450.0,,,planar,316.9,36.4,989.1,181.9,745.5,1307.6,73.2,1162.1,1483.7,-931.1,-245.0,-995.9,1375.8,1946.9,-352.9,1882.1,491.7,0
174,8.7000,1,hybrid:ecc,0.8215,0.300,531.2,671.9,-87.829,1518.5,-1830.1,-210.2,-1895.6,-385.7,2731.0,1343.1,2796.6,1450.0,,,planar,317.2,36.2,989.4,182.0,745.2,1307.6,73.0,1161.8,1484.4,-930.7,-244.3,-996.3,1375.3,1947.2,-353.5,1881.6,491.5,0
175,8.7500,1,hybrid:ecc,0.8228,0.300,531.2,671.9,-87.845,1517.8,-1830.4,-211.0,-1895.4,-385.1,2731.3,1343.7,2796.3,1450.0,,,planar,317.1,36.3,989.3,181.9,745.4,1307.6,73.2,1161.9,1484.0,-931.0,-244.8,-996.1,1375.7,1946.9,-353.1,1881.9,491.7,0
176,8.8000,1,hybrid:ecc,0.8224,0.297,531.2,672.0,-87.837,1518.2,-1830.1,-210.6,-1895.4,-385.4,2731.3,1343.4,2796.6,1450.0,,,planar,317.1,36.3,989.3,182.0,745.3,1307.7,73.1,1162.0,1484.2,-930.8,-244.6,-996.1,1375.5,1947.2,-353.3,1881.9,491.5,0
177,8.8500,1,hybrid:ecc,0.8285,0.297,531.3,672.1,-87.847,1517.8,-1830.2,-210.9,-1895.2,-384.9,2731.5,1343.9,2796.5,1450.0,,,planar,317.0,36.4,989.3,182.0,745.5,1307.8,73.2,1162.2,1484.0,-930.8,-244.8,-995.8,1375.8,1947.1,-353.0,1882.1,491.5,0
178,8.9000,1,hybrid:ecc,0.8283,0.298,531.3,672.1,-87.837,1518.3,-1830.0,-210.5,-1895.3,-385.3,2731.4,1343.5,2796.7,1450.0,,,planar,317.1,36.4,989.3,182.1,745.4,1307.8,73.2,1162.1,1484.3,-930.7,-244.5,-996.0,1375.6,1947.3,-353.2,1882.0,491.4,0
