frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,T2_mm,T2_hit
440,22.0000,1,hybrid:ecc,0.8364,0.328,519.3,1141.3,-87.776,1508.9,-1359.8,-219.8,-1426.9,-399.4,3199.6,1329.3,3266.7,1450.0,,,planar,305.9,505.4,977.9,651.8,732.8,1777.2,60.7,1630.8,1474.0,-460.5,-254.7,-527.6,1362.2,2417.4,-366.5,2350.2,21.1,0
441,22.0500,1,hybrid:ecc,0.8362,0.326,519.1,1141.4,-87.786,1508.3,-1359.9,-220.4,-1426.7,-399.3,3199.8,1329.4,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.5,-460.5,-255.2,-527.4,1362.3,2417.3,-366.5,2350.5,21.2,0
442,22.1000,1,hybrid:ecc,0.8364,0.326,519.1,1141.4,-87.786,1508.3,-1359.9,-220.4,-1426.7,-399.3,3199.8,1329.4,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.5,-460.5,-255.2,-527.4,1362.3,2417.3,-366.5,2350.5,21.2,0
443,22.1500,1,hybrid:ecc,0.8364,0.326,519.1,1141.4,-87.786,1508.3,-1359.9,-220.4,-1426.7,-399.3,3199.8,1329.4,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.5,-460.5,-255.2,-527.4,1362.3,2417.3,-366.5,2350.5,21.2,0
444,22.2000,1,hybrid:ecc,0.8355,0.328,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
445,22.2500,1,hybrid:ecc,0.8355,0.328,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
446,22.3000,1,hybrid:ecc,0.8355,0.328,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
447,22.3500,1,hybrid:ecc,0.8355,0.328,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
448,22.4000,1,hybrid:ecc,0.8355,0.328,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
449,22.4500,1,hybrid:ecc,0.8355,0.328,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
450,22.5000,1,hybrid:ecc,0.8355,0.328,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
451,22.5500,1,hybrid:ecc,0.8353,0.328,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.6,505.5,977.7,651.8,732.7,1777.3,60.6,1631.0,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
452,22.6000,1,hybrid:ecc,0.8342,0.329,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.7,505.5,977.8,651.8,732.7,1777.3,60.6,1630.9,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
453,22.6500,1,hybrid:ecc,0.8338,0.329,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.7,505.5,977.8,651.8,732.7,1777.3,60.6,1630.9,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
454,22.7000,1,hybrid:ecc,0.8351,0.329,519.2,1141.4,-87.786,1508.4,-1359.9,-220.3,-1426.7,-399.2,3199.8,1329.5,3266.7,1450.0,,,planar,305.7,505.5,977.8,651.8,732.7,1777.3,60.6,1630.9,1473.6,-460.5,-255.1,-527.4,1362.4,2417.3,-366.4,2350.5,21.2,0
