frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,1_mm,1_hit,2_mm,2_hit,3_mm,3_hit,4_mm,4_hit
3040,152.0000,1,hybrid:ecc,0.8780,0.192,372.1,2586.4,-90.438,1170.4,93.2,-559.6,106.5,-524.2,4736.3,1205.8,4723.1,1450.0,,,planar,-28.3,2088.0,771.6,2087.3,772.4,3084.8,-27.5,3085.4,1177.3,993.2,-552.7,1006.5,1199.3,3873.1,-530.7,3886.4,972.4,0,-405.0,1,1035.6,0,838.6,0
3041,152.0500,1,hybrid:ecc,0.8792,0.193,372.1,2586.4,-90.438,1170.4,93.2,-559.6,106.5,-524.2,4736.3,1205.8,4723.1,1450.0,,,planar,-28.2,2088.0,771.6,2087.3,772.4,3084.8,-27.5,3085.4,1177.3,993.2,-552.7,1006.5,1199.3,3873.1,-530.7,3886.4,972.4,0,-405.0,1,1035.6,0,838.6,0
3042,152.1000,1,hybrid:ecc,0.8791,0.193,372.1,2586.4,-90.438,1170.4,93.2,-559.6,106.5,-524.2,4736.3,1205.8,4723.1,1450.0,,,planar,-28.2,2088.0,771.6,2087.3,772.4,3084.8,-27.5,3085.4,1177.3,993.2,-552.7,1006.5,1199.3,3873.1,-530.7,3886.4,972.4,0,-405.0,1,1035.6,0,838.6,0
3043,152.1500,1,hybrid:ecc,0.8793,0.192,372.1,2586.4,-90.438,1170.4,93.2,-559.6,106.5,-524.2,4736.3,1205.8,4723.1,1450.0,,,planar,-28.2,2088.0,771.6,2087.3,772.4,3084.8,-27.5,3085.4,1177.3,993.2,-552.7,1006.5,1199.3,3873.1,-530.7,3886.4,972.4,0,-405.0,1,1035.6,0,838.6,0
3044,152.2000,1,hybrid:ecc,0.8793,0.192,372.1,2586.4,-90.438,1170.4,93.2,-559.6,106.5,-524.2,4736.3,1205.8,4723.1,1450.0,,,planar,-28.2,2088.0,771.6,2087.3,772.4,3084.8,-27.5,3085.4,1177.3,993.2,-552.7,1006.5,1199.3,3873.1,-530.7,3886.4,972.4,0,-405.0,1,1035.6,0,838.6,0
3045,152.2500,1,hybrid:ecc,0.8793,0.192,372.1,2586.4,-90.438,1170.4,93.2,-559.6,106.5,-524.2,4736.3,1205.8,4723.1,1450.0,,,planar,-28.2,2088.0,771.6,2087.3,772.4,3084.8,-27.5,3085.4,1177.3,993.2,-552.7,1006.5,1199.3,3873.1,-530.7,3886.4,972.4,0,-405.0,1,1035.6,0,838.6,0
3046,152.3000,1,hybrid:ecc,0.8791,0.193,372.1,2586.4,-90.424,1171.0,93.4,-559.0,106.2,-524.7,4736.1,1205.3,4723.3,1450.0,,,planar,-28.1,2087.9,771.7,2087.4,772.4,3084.9,-27.5,3085.4,1177.7,993.4,-552.3,1006.2,1199.0,3873.3,-531.0,3886.1,972.5,0,-405.1,1,1035.8,0,838.7,0
3047,152.3500,1,hybrid:ecc,0.8789,0.193,372.1,2586.4,-90.424,1171.0,93.4,-559.0,106.2,-524.7,4736.1,1205.3,4723.3,1450.0,,,planar,-28.1,2087.9,771.7,2087.4,772.4,3084.9,-27.5,3085.4,1177.7,993.4,-552.3,1006.2,1199.0,3873.3,-531.0,3886.1,972.5,0,-405.1,1,1035.8,0,838.7,0
3048,152.4000,1,hybrid:ecc,0.8788,0.191,372.1,2586.4,-90.438,1170.4,93.2,-559.6,106.5,-524.2,4736.3,1205.8,4723.1,1450.0,,,planar,-28.2,2088.0,771.7,2087.3,772.5,3084.8,-27.4,3085.4,1177.3,993.2,-552.7,1006.5,1199.3,3873.1,-530.7,3886.4,972.4,0,-405.0,1,1035.6,0,838.6,0
3049,152.4500,1,hybrid:ecc,0.8789,0.191,372.1,2586.4,-90.438,1170.4,93.2,-559.6,106.5,-524.2,4736.3,1205.8,4723.1,1450.0,,,planar,-28.2,2088.0,771.7,2087.3,772.5,3084.8,-27.4,3085.4,1177.3,993.2,-552.7,1006.5,1199.3,3873.1,-530.7,3886.4,972.4,0,-405.0,1,1035.6,0,838.6,0
