frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,1_mm,1_hit,2_mm,2_hit,3_mm,3_hit,4_mm,4_hit
3700,185.0000,1,hybrid:ecc,0.9453,0.072,1348.2,3109.5,-87.288,2374.6,452.8,426.7,360.6,105.0,7152.9,2052.8,7245.2,2580.0,,,planar,677.1,2758.4,2019.6,2758.8,2019.4,3460.5,676.9,3460.1,2319.7,1611.5,371.9,1519.3,2135.6,5497.2,187.8,5404.9,1299.1,0,435.6,0,2397.6,0,931.3,0
3701,185.0500,1,hybrid:ecc,0.9453,0.072,1348.3,3109.5,-87.284,2374.9,452.9,427.1,360.5,104.8,7152.8,2052.6,7245.2,2580.0,,,planar,677.2,2758.4,2019.7,2758.9,2019.4,3460.5,676.9,3460.1,2319.9,1611.6,372.1,1519.2,2135.6,5497.2,187.8,5404.8,1299.1,0,435.5,0,2397.7,0,931.3,0
3702,185.1000,1,hybrid:ecc,0.9438,0.072,1348.4,3109.5,-87.284,2375.0,452.9,427.2,360.5,104.9,7152.8,2052.7,7245.2,2580.0,,,planar,677.2,2758.4,2019.7,2758.9,2019.5,3460.5,677.0,3460.1,2320.0,1611.6,372.2,1519.2,2135.7,5497.2,187.9,5404.8,1299.1,0,435.6,0,2397.7,0,931.2,0
3703,185.1500,1,hybrid:ecc,0.9435,0.072,1348.4,3109.5,-87.284,2375.0,452.9,427.2,360.5,104.9,7152.8,2052.7,7245.2,2580.0,,,planar,677.3,2758.4,2019.8,2758.9,2019.5,3460.6,677.0,3460.1,2320.0,1611.6,372.2,1519.2,2135.7,5497.2,187.9,5404.8,1299.1,0,435.6,0,2397.7,0,931.2,0
3704,185.2000,1,hybrid:ecc,0.9438,0.072,1348.6,3109.5,-87.284,2375.2,452.9,427.4,360.5,105.1,7152.8,2052.9,7245.2,2580.0,,,planar,677.4,2758.4,2019.9,2758.9,2019.7,3460.6,677.2,3460.1,2320.2,1611.6,372.4,1519.2,2135.9,5497.2,188.1,5404.8,1299.1,0,435.8,0,2397.7,0,931.0,0
3705,185.2500,1,hybrid:ecc,0.9435,0.072,1348.6,3109.5,-87.284,2375.2,452.9,427.4,360.5,105.1,7152.8,2052.9,7245.2,2580.0,,,planar,677.4,2758.4,2019.9,2758.9,2019.7,3460.6,677.2,3460.1,2320.2,1611.6,372.4,1519.2,2135.9,5497.2,188.1,5404.8,1299.1,0,435.8,0,2397.7,0,931.0,0
3706,185.3000,1,hybrid:ecc,0.9443,0.072,1348.5,3109.5,-87.288,2374.9,452.8,427.0,360.6,105.3,7152.9,2053.1,7245.2,2580.0,,,planar,677.4,2758.5,2019.9,2758.9,2019.7,3460.6,677.2,3460.1,2320.0,1611.5,372.2,1519.3,2135.9,5497.2,188.1,5404.9,1299.1,0,435.9,0,2397.7,0,931.0,0
3707,185.3500,1,hybrid:ecc,0.9445,0.072,1348.5,3109.5,-87.292,2374.7,452.7,426.8,360.6,105.6,7153.0,2053.4,7245.1,2580.0,,,planar,677.3,2758.5,2019.8,2758.8,2019.6,3460.5,677.1,3460.1,2319.9,1611.4,372.0,1519.3,2136.1,5497.1,188.3,5405.0,1299.2,0,436.1,0,2397.6,0,930.9,0
3708,185.4000,1,hybrid:ecc,0.9456,0.072,1348.5,3109.5,-87.288,2374.9,452.8,427.0,360.6,105.3,7152.9,2053.1,7245.2,2580.0,,,planar,677.3,2758.5,2019.8,2758.9,2019.6,3460.5,677.1,3460.2,2320.0,1611.5,372.2,1519.3,2135.9,5497.2,188.1,5404.9,1299.1,0,435.9,0,2397.7,0,931.0,0
3709,185.4500,1,hybrid:ecc,0.9458,0.072,1348.5,3109.5,-87.288,2374.9,452.8,427.0,360.6,105.3,7152.9,2053.1,7245.2,2580.0,,,planar,677.3,2758.5,2019.8,2758.9,2019.6,3460.5,677.1,3460.1,2320.0,1611.5,372.2,1519.3,2135.9,5497.2,188.1,5404.9,1299.1,0,435.9,0,2397.7,0,931.0,0
3710,185.5000,1,hybrid:ecc,0.9457,0.072,1348.4,3109.5,-87.284,2375.0,452.9,427.2,360.5,104.9,7152.8,2052.7,7245.2,2580.0,,,planar,677.3,2758.4,2019.8,2758.9,2019.5,3460.6,677.0,3460.1,2320.0,1611.6,372.2,1519.2,2135.7,5497.2,187.9,5404.8,1299.1,0,435.6,0,2397.7,0,931.2,0
3711,185.5500,1,hybrid:ecc,0.9459,0.072,1348.4,3109.5,-87.284,2375.0,452.9,427.2,360.5,104.9,7152.8,2052.7,7245.2,2580.0,,,planar,677.3,2758.4,2019.8,2758.9,2019.5,3460.6,677.0,3460.1,2320.0,1611.6,372.2,1519.2,2135.7,5497.2,187.9,5404.8,1299.1,0,435.6,0,2397.7,0,931.2,0
3712,185.6000,1,hybrid:ecc,0.9459,0.072,1348.4,3109.5,-87.284,2375.0,452.9,427.2,360.5,104.9,7152.8,2052.7,7245.2,2580.0,,,planar,677.3,2758.4,2019.8,2758.9,2019.5,3460.6,677.0,3460.1,2320.0,1611.6,372.2,1519.2,2135.7,5497.2,187.9,5404.8,1299.1,0,435.6,0,2397.7,0,931.2,0
